# Epoch,E_trajectorie_count,E_cumulative_timestep,E_average_return
263,9,9,-106.888889
264,9,9,-110.000000
265,10,10,-99.600000
266,9,9,-106.666667
267,8,8,-120.375000
268,9,9,-104.555556
269,10,10,-99.900000
270,8,8,-115.375000
271,10,10,-99.800000
272,9,9,-106.555556
273,9,9,-104.222222
274,8,8,-116.125000
275,9,9,-105.666667
276,9,9,-104.000000
277,9,9,-106.666667
278,10,10,-99.800000
279,8,8,-117.000000
280,9,9,-111.111111
281,7,7,-123.000000
282,9,9,-108.666667
283,8,8,-111.375000
284,9,9,-109.777778
285,9,9,-108.555556
286,9,9,-106.111111
287,9,9,-104.444444
288,9,9,-110.444444
289,9,9,-108.333333
290,9,9,-103.888889
291,8,8,-120.375000
292,8,8,-115.500000
293,10,10,-98.600000
294,9,9,-110.111111
295,9,9,-102.111111
296,9,9,-100.222222
297,10,10,-99.300000
298,10,10,-98.600000
299,9,9,-105.222222
300,8,8,-113.125000
301,9,9,-106.222222
302,9,9,-102.555556
303,9,9,-105.777778
304,10,10,-97.400000
305,10,10,-99.100000
306,8,8,-111.375000
307,10,10,-99.100000
308,9,9,-103.777778
309,8,8,-109.750000
310,9,9,-102.444444
311,9,9,-104.222222
312,8,8,-115.750000
313,10,10,-97.000000
314,9,9,-100.555556
315,8,8,-112.000000
316,9,9,-107.777778
317,9,9,-107.777778
318,9,9,-104.666667
319,9,9,-108.666667
320,9,9,-103.555556
321,9,9,-107.333333
322,8,8,-112.250000
323,9,9,-101.888889
324,9,9,-104.777778
325,9,9,-103.333333
326,8,8,-121.500000
327,8,8,-113.125000
328,9,9,-110.000000
329,9,9,-109.222222
330,8,8,-111.625000
331,9,9,-106.777778
332,9,9,-101.777778
333,8,8,-120.750000
334,9,9,-105.444444
335,9,9,-100.333333
336,9,9,-110.222222
337,9,9,-102.888889
338,9,9,-110.555556
339,9,9,-109.000000
340,9,9,-100.888889
341,8,8,-112.500000
342,9,9,-105.222222
343,9,9,-101.000000
344,9,9,-108.000000
345,9,9,-102.444444
346,7,7,-131.000000
347,9,9,-106.000000
348,9,9,-104.777778
349,9,9,-105.555556
350,9,9,-104.000000
351,9,9,-100.444444
352,10,10,-96.700000
353,10,10,-96.500000
354,9,9,-102.555556
355,7,7,-136.285714
356,9,9,-110.444444
357,8,8,-123.875000
358,8,8,-112.750000
359,9,9,-110.666667
360,9,9,-106.000000
361,8,8,-103.375000
362,9,9,-102.111111
363,8,8,-111.500000
364,10,10,-97.200000
365,9,9,-103.333333
366,7,7,-129.571429
367,9,9,-105.000000
368,9,9,-99.777778
369,9,9,-104.111111
370,9,9,-107.111111
371,9,9,-102.222222
372,8,8,-105.500000
373,9,9,-101.555556
374,9,9,-110.000000
375,10,10,-99.700000
376,9,9,-107.555556
